unit_number,time_in_cycles,sensor_11,sensor_4,sensor_15,sensor_2,sensor_17,sensor_3,sensor_8,sensor_13,sensor_9,sensor_14,sensor_20,sensor_21,sensor_7,sensor_12
1,46,47.2,1401.27,8.3977,642.43,393,1588.29,2388.06,2388.08,9060.38,8128.71,38.93,23.3745,553.76,522.02
1,47,47.22,1402.89,8.3973,642.21,392,1580.32,2388.06,2388.05,9052.04,8126.21,38.99,23.4873,554.38,521.84
1,48,47.4,1399.16,8.4376,641.89,392,1588.51,2388.08,2388.06,9045.26,8129.99,38.94,23.365,554.02,521.91
1,49,47.22,1397.76,8.4151,642.23,392,1584.35,2388.07,2388.04,9050.64,8135.48,39.06,23.4498,554.23,521.37
1,50,47.47,1403.62,8.4116,642.77,392,1588.49,2388.06,2388.09,9048.6,8127.3,38.85,23.4106,553.92,522.33
1,51,47.12,1400.42,8.4504,642.81,393,1585.54,2388.02,2388.05,9047.09,8134.36,38.94,23.3651,553.73,521.91
1,52,47.07,1395.57,8.4539,642.76,391,1583.77,2388.04,2388.07,9056.01,8132.82,39.0,23.3388,553.04,522.1
1,53,47.29,1402.26,8.4418,642.61,392,1579.82,2388.05,2388.06,9051.15,8134.38,38.9,23.3775,554.16,521.96
1,54,47.38,1401.2,8.4189,642.42,392,1592.59,2388.04,2388.06,9056.29,8129.95,38.96,23.2348,553.95,522.44
1,55,47.4,1401.58,8.4071,642.41,392,1584.95,2388.04,2388.02,9048.94,8134.1,39.06,23.3567,554.45,522.11
1,56,47.26,1400.76,8.4022,642.49,391,1586.33,2388.01,2388.04,9042.42,8135.4,38.68,23.3408,553.98,522.48
1,57,47.29,1402.79,8.4263,642.13,392,1583.67,2388.05,2388.08,9050.8,8135.48,38.84,23.3567,553.42,521.62
1,58,47.26,1397.99,8.4319,641.9,390,1590.46,2388.09,2388.04,9050.33,8132.08,38.93,23.2893,554.14,522.21
1,59,47.26,1403.51,8.4476,642.33,392,1596.72,2388.07,2388.02,9050.06,8128.81,38.92,23.4444,554.62,521.32
1,60,47.41,1403.07,8.3878,642.34,393,1582.75,2388.06,2388.03,9051.69,8132.89,38.89,23.387,554.0,522.49
1,61,47.31,1405.52,8.4264,642.1,391,1583.55,2388.11,2388.09,9050.58,8131.66,38.89,23.3638,554.09,522.34
1,62,47.28,1399.54,8.4071,642.17,391,1581.59,2388.1,2388.1,9053.62,8132.28,39.03,23.2707,554.45,522.19
1,63,47.51,1395.38,8.4357,642.6,394,1592.14,2388.06,2388.01,9049.96,8130.73,38.77,23.3436,553.48,521.56
1,64,47.45,1400.11,8.4066,642.23,391,1584.51,2388.1,2388.04,9043.67,8128.15,38.93,23.384,553.88,521.82
1,65,47.56,1403.24,8.4406,642.28,392,1584.72,2388.03,2388.13,9044.01,8132.94,38.9,23.3752,553.97,521.54
1,66,47.14,1399.52,8.3911,642.5,391,1588.5,2388.06,2388.05,9059.45,8128.32,38.95,23.3152,554.0,521.76
1,67,47.39,1403.02,8.3925,642.33,393,1590.22,2388.1,2388.08,9050.24,8134.07,38.97,23.291,554.31,522.64
1,68,47.36,1404.42,8.4242,642.51,392,1582.06,2388.1,2388.07,9051.78,8132.39,38.95,23.3174,554.04,521.72
1,69,47.41,1401.24,8.4292,642.44,392,1590.7,2388.07,2388.1,9050.59,8129.13,39.0,23.3742,554.65,522.22
1,70,47.41,1402.78,8.4279,642.22,392,1584.02,2388.11,2388.12,9053.43,8130.36,38.86,23.4513,554.01,521.93
1,71,47.3,1403.09,8.423,642.21,391,1580.41,2388.03,2388.09,9046.09,8134.28,38.8,23.3881,554.06,521.72
1,72,47.27,1406.81,8.3951,642.41,391,1579.25,2388.07,2388.09,9054.42,8133.95,38.84,23.3085,553.76,521.97
1,73,47.29,1397.93,8.404,642.29,391,1592.04,2388.03,2388.1,9049.64,8129.85,39.03,23.3975,553.88,522.04
1,74,47.58,1401.48,8.4135,642.96,392,1584.65,2388.07,2387.97,9045.85,8132.67,38.8,23.382,554.03,522.25
1,75,47.22,1394.82,8.4621,641.96,392,1582.32,2388.07,2388.11,9042.32,8130.13,38.89,23.3521,553.6,521.77
1,76,47.44,1398.94,8.3996,642.21,390,1589.21,2388.02,2388.03,9056.55,8136.44,39.02,23.4428,553.66,521.58
1,77,47.41,1400.97,8.453,642.55,393,1586.3,2388.06,2388.08,9046.44,8135.25,38.99,23.275,554.61,521.6
1,78,47.4,1404.1,8.3793,641.99,392,1580.76,2388.08,2388.16,9042.37,8133.91,38.88,23.3486,553.47,522.28
1,79,47.35,1403.93,8.4132,642.12,394,1582.46,2388.04,2388.13,9047.86,8135.4,38.9,23.3121,553.77,521.85
1,80,47.64,1393.58,8.4235,641.94,392,1591.96,2388.06,2388.1,9043.67,8134.66,38.89,23.3613,553.91,521.52
1,81,47.43,1402.04,8.4247,642.73,392,1584.82,2388.1,2388.05,9045.31,8128.87,38.77,23.373,553.88,521.66
1,82,47.25,1399.17,8.3986,642.04,393,1589.07,2388.1,2388.03,9048.22,8134.04,38.89,23.2713,554.18,521.95
1,83,47.22,1406.38,8.4128,642.66,391,1588.05,2388.08,2388.05,9049.08,8131.32,38.8,23.3274,553.49,521.93
1,84,47.38,1406.6,8.4139,642.64,392,1585.52,2388.05,2388.06,9050.47,8131.54,38.73,23.2653,553.91,521.54
1,85,47.36,1405.96,8.4499,642.28,392,1590.12,2388.01,2388.05,9056.08,8135.31,39.01,23.284,554.4,522.3
1,86,47.38,1403.56,8.4173,641.84,394,1588.8,2388.1,2388.09,9047.26,8130.06,38.94,23.3945,553.69,521.82
1,87,47.34,1413.1,8.4326,642.33,391,1586.69,2388.14,2388.06,9050.52,8130.41,38.88,23.3402,554.1,521.43
1,88,47.46,1406.09,8.4586,641.96,392,1581.29,2388.07,2388.04,9046.73,8131.47,38.9,23.3086,554.48,522.2
1,89,47.46,1402.22,8.4489,642.24,392,1584.73,2388.05,2388.08,9055.24,8135.15,38.95,23.3288,553.91,521.55
1,90,47.32,1412.93,8.3961,642.67,391,1584.38,2388.1,2388.09,9051.27,8129.72,38.98,23.4712,552.88,521.49
1,91,47.32,1404.76,8.3949,641.98,394,1584.84,2388.04,2388.1,9050.72,8134.4,39.11,23.3842,553.54,521.55
1,92,47.45,1400.77,8.3982,642.89,392,1590.03,2388.14,2388.05,9048.36,8131.39,38.99,23.3522,553.81,521.91
1,93,47.46,1408.48,8.421,642.85,392,1593.74,2388.07,2388.08,9047.87,8133.15,38.86,23.2477,554.07,521.43
1,94,47.48,1404.94,8.4524,642.45,393,1583.27,2388.15,2388.07,9045.83,8132.4,38.85,23.3758,553.86,521.61
1,95,47.38,1410.1,8.4575,642.86,394,1577.6,2388.02,2388.02,9048.85,8131.63,38.76,23.3269,553.91,521.92
1,96,47.39,1395.16,8.4311,642.19,392,1584.07,2388.07,2388.06,9048.71,8130.69,38.88,23.3255,553.34,521.66
1,97,47.46,1407.81,8.4105,642.07,392,1595.77,2388.09,2388.06,9046.1,8128.74,39.01,23.2963,553.4,521.67
1,98,47.37,1404.56,8.4012,642.0,391,1591.11,2388.06,2388.06,9045.49,8127.89,38.96,23.2554,552.75,522.31
1,99,47.4,1406.13,8.4481,642.46,393,1592.73,2388.08,2388.1,9045.14,8131.77,38.82,23.2323,553.76,521.42
1,100,47.64,1411.35,8.4241,642.22,392,1589.63,2388.07,2388.08,9045.72,8132.49,38.93,23.409,554.22,521.55
1,101,47.62,1403.41,8.4353,642.75,391,1584.18,2388.06,2388.08,9052.3,8125.97,38.75,23.4149,553.37,521.89
1,102,47.49,1403.42,8.4561,642.85,393,1589.11,2388.15,2388.05,9051.36,8130.4,38.94,23.3653,553.42,521.38
1,103,47.57,1403.21,8.4263,642.21,392,1581.27,2388.09,2388.1,9053.28,8124.4,38.69,23.4289,553.64,521.41
1,104,47.34,1406.25,8.4021,642.29,392,1590.63,2388.08,2388.09,9044.73,8131.89,38.96,23.3393,553.66,522.38
1,105,47.31,1403.22,8.4326,642.01,393,1588.28,2388.09,2388.08,9048.36,8134.01,38.77,23.3857,553.11,521.81
1,106,47.44,1404.45,8.4664,642.68,392,1589.05,2388.08,2388.09,9049.82,8126.38,39.08,23.4148,553.6,521.51
1,107,47.35,1407.73,8.4241,642.53,396,1595.13,2388.07,2388.07,9048.68,8132.4,39.01,23.4086,553.74,521.75
1,108,47.61,1399.47,8.4133,643.49,393,1585.91,2388.14,2388.03,9047.03,8131.52,38.75,23.3032,554.43,521.52
1,109,47.58,1409.1,8.3757,642.49,394,1586.45,2388.1,2388.11,9051.13,8130.97,39.05,23.3561,553.59,521.62
1,110,47.55,1401.27,8.4638,642.55,393,1590.01,2388.13,2388.12,9051.4,8127.16,39.06,23.2951,554.08,522.01
1,111,47.62,1408.11,8.4447,642.67,392,1584.38,2388.12,2388.14,9051.64,8132.4,38.92,23.2135,553.49,521.53
1,112,47.22,1401.84,8.4445,642.66,394,1586.46,2388.06,2388.08,9051.28,8131.52,38.84,23.3207,553.19,521.9
1,113,47.46,1406.59,8.458,642.68,393,1590.85,2388.1,2388.16,9053.15,8129.32,38.9,23.3101,552.91,521.75
1,114,47.58,1402.97,8.429,642.31,394,1588.42,2388.07,2388.15,9046.58,8132.36,38.89,23.3754,554.29,521.68
1,115,47.43,1406.6,8.4345,642.66,393,1594.84,2388.11,2388.12,9050.37,8127.6,38.93,23.3022,554.13,521.36
1,116,47.43,1401.99,8.4059,642.64,394,1580.31,2388.08,2388.05,9049.71,8134.46,39.03,23.3512,554.4,521.6
1,117,47.52,1409.35,8.4256,642.38,391,1589.77,2388.1,2388.1,9049.61,8126.12,38.73,23.1766,554.59,521.22
1,118,47.55,1409.34,8.4197,642.34,393,1585.67,2388.1,2388.12,9051.12,8135.21,38.88,23.2966,554.25,521.31
1,119,47.55,1404.46,8.4194,642.67,394,1596.8,2388.1,2388.09,9045.89,8123.85,39.01,23.3188,553.77,521.46
1,120,47.6,1407.68,8.4029,642.81,393,1593.78,2388.1,2388.1,9048.72,8125.57,38.81,23.3061,553.66,521.34
1,121,47.44,1411.9,8.4263,642.63,394,1593.56,2388.07,2388.04,9040.97,8133.94,38.63,23.422,553.7,521.3
1,122,47.6,1413.97,8.4256,643.3,393,1593.68,2388.15,2388.12,9042.39,8131.81,38.86,23.2793,553.43,520.92
1,123,47.41,1403.04,8.4396,643.39,392,1586.66,2388.12,2388.17,9049.44,8129.72,38.9,23.292,552.64,521.6
1,124,47.55,1402.28,8.4416,642.48,393,1587.14,2388.13,2388.13,9053.03,8133.82,38.8,23.2341,552.26,521.4
1,125,47.63,1406.42,8.4079,642.96,394,1585.47,2388.13,2388.11,9046.16,8126.33,38.68,23.3039,552.44,521.57
1,126,47.49,1418.5,8.4378,642.49,392,1582.64,2388.05,2388.08,9049.11,8130.94,38.85,23.2289,553.72,521.35
1,127,47.63,1399.49,8.4626,642.99,393,1586.9,2388.09,2388.1,9047.9,8133.0,38.91,23.2772,553.81,521.34
1,128,47.62,1407.06,8.4413,642.47,393,1593.87,2388.13,2388.16,9056.59,8132.08,38.85,23.2641,552.74,521.96
1,129,47.61,1408.42,8.4681,642.41,393,1591.33,2388.09,2388.13,9046.08,8127.33,38.84,23.2656,552.42,522.02
1,130,47.46,1412.25,8.3938,642.7,394,1585.9,2388.13,2388.07,9042.97,8125.29,38.71,23.3461,552.66,521.49
1,131,47.7,1413.25,8.4328,643.01,391,1585.78,2388.11,2388.13,9045.1,8126.38,38.73,23.3435,553.7,521.45
1,132,47.56,1405.76,8.4227,643.19,393,1596.06,2388.17,2388.16,9044.04,8128.92,38.53,23.3186,553.16,521.64
1,133,47.57,1410.11,8.4604,642.45,394,1592.64,2388.11,2388.09,9050.95,8130.93,38.95,23.2521,553.82,521.23
1,134,47.75,1402.67,8.4293,642.85,393,1583.62,2388.11,2388.13,9046.16,8131.3,38.68,23.2833,553.2,521.52
1,135,47.34,1406.83,8.4242,642.45,392,1585.55,2388.14,2388.12,9050.65,8129.34,38.85,23.2744,553.09,520.99
1,136,47.43,1404.39,8.4469,642.84,393,1584.72,2388.06,2388.11,9040.89,8130.43,38.76,23.1699,554.18,521.54
1,137,47.89,1405.15,8.449,642.43,394,1594.69,2388.14,2388.12,9040.55,8128.81,38.87,23.2593,553.39,521.63
1,138,47.4,1413.34,8.4208,642.79,392,1589.82,2388.11,2388.18,9049.64,8129.67,39.0,23.3664,552.91,521.57
1,139,47.67,1412.6,8.4621,643.11,394,1592.28,2388.06,2388.15,9044.81,8124.97,38.88,23.3422,553.25,521.03
1,140,47.51,1408.36,8.4397,643.05,393,1590.89,2388.17,2388.05,9055.85,8130.27,38.82,23.3704,552.15,521.27
1,141,47.49,1415.25,8.4641,642.39,394,1590.02,2388.13,2388.16,9050.86,8120.93,39.02,23.2382,553.45,521.06
1,142,47.59,1413.42,8.4291,642.51,392,1595.29,2388.1,2388.18,9046.61,8124.87,38.71,23.2816,553.11,520.44
1,143,47.52,1404.21,8.4419,642.77,393,1593.1,2388.13,2388.11,9050.63,8126.81,38.79,23.2305,553.62,520.98
1,144,47.57,1405.76,8.4601,643.09,393,1591.89,2388.17,2388.17,9049.33,8125.47,38.75,23.2249,553.77,521.11
1,145,47.54,1409.63,8.4644,642.95,395,1594.92,2388.13,2388.15,9046.92,8130.91,38.67,23.149,553.03,521.13
1,146,47.63,1408.82,8.4312,642.72,392,1586.75,2388.12,2388.12,9045.99,8129.19,38.69,23.3233,552.6,521.13
1,147,47.8,1409.96,8.4428,642.25,393,1594.85,2388.14,2388.12,9041.24,8126.13,38.77,23.2684,553.09,520.92
1,148,47.49,1411.89,8.4276,643.02,392,1590.03,2388.16,2388.15,9040.93,8124.48,38.77,23.2498,552.84,521.08
1,149,47.83,1410.7,8.4731,642.9,394,1592.78,2388.17,2388.15,9057.24,8124.34,38.77,23.2565,552.54,521.13
1,150,47.6,1409.22,8.4726,643.06,394,1589.01,2388.12,2388.21,9044.76,8122.99,38.68,23.2082,553.57,520.5
1,151,47.58,1411.94,8.4612,642.82,394,1592.39,2388.14,2388.22,9048.12,8127.21,38.56,23.2277,552.41,520.94
1,152,47.72,1420.83,8.4572,642.67,395,1598.6,2388.18,2388.19,9043.9,8119.0,38.77,23.2369,552.62,520.39
1,153,47.74,1414.56,8.4435,642.99,393,1589.17,2388.14,2388.17,9049.43,8124.14,38.78,23.1719,552.68,520.69
1,154,47.73,1416.07,8.4794,642.81,394,1597.03,2388.14,2388.18,9049.08,8129.24,38.82,23.2366,552.57,520.72
1,155,47.61,1414.89,8.4729,642.83,394,1590.4,2388.16,2388.17,9049.56,8120.41,38.68,23.2749,552.89,521.23
1,156,47.58,1421.23,8.4432,643.04,395,1585.61,2388.26,2388.16,9044.21,8128.48,38.77,23.2791,553.24,520.75
1,157,47.72,1412.47,8.4328,642.2,392,1598.04,2388.14,2388.17,9053.12,8125.07,38.67,23.2354,552.32,520.94
1,158,47.68,1410.09,8.4368,642.88,394,1596.82,2388.2,2388.22,9049.22,8126.33,38.75,23.2894,553.19,520.88
1,159,47.76,1420.37,8.4403,642.89,394,1589.54,2388.13,2388.23,9048.06,8127.61,38.76,23.253,552.18,520.65
1,160,47.84,1418.08,8.4433,643.45,396,1590.65,2388.21,2388.22,9045.42,8122.68,38.52,23.2817,551.87,520.47
1,161,47.77,1417.31,8.4405,643.0,394,1594.2,2388.18,2388.18,9048.06,8126.97,38.66,23.2962,552.8,520.47
1,162,47.79,1423.48,8.5015,643.15,394,1592.22,2388.15,2388.2,9044.45,8123.77,38.78,23.1538,552.68,520.44
1,163,47.89,1421.09,8.5129,642.85,393,1600.54,2388.2,2388.2,9049.24,8124.06,38.65,23.1419,552.41,520.3
1,164,47.7,1416.76,8.4803,643.17,394,1598.96,2388.17,2388.28,9048.92,8124.63,38.62,23.1761,551.9,520.63
1,165,47.89,1408.09,8.4922,642.76,393,1597.03,2388.19,2388.24,9039.09,8126.53,38.59,23.2129,552.79,520.69
1,166,47.86,1422.37,8.4663,643.34,395,1596.72,2388.22,2388.22,9043.11,8119.14,38.62,23.145,552.13,520.02
1,167,47.85,1414.72,8.4632,643.02,394,1593.83,2388.23,2388.18,9042.05,8122.41,38.77,23.3011,552.57,520.49
1,168,47.84,1415.7,8.4925,642.68,393,1591.19,2388.22,2388.19,9036.35,8124.44,38.76,23.277,552.09,520.78
1,169,47.88,1418.05,8.4767,643.2,394,1590.16,2388.25,2388.18,9055.18,8125.3,38.58,23.187,552.71,520.44
1,170,47.86,1417.41,8.49,642.92,395,1592.71,2388.21,2388.26,9044.03,8121.76,38.66,23.1615,552.02,520.23
1,171,48.03,1414.99,8.4922,643.26,395,1592.06,2388.2,2388.22,9042.12,8124.87,38.68,23.2444,552.71,519.85
1,172,48.07,1413.73,8.4595,643.33,393,1591.71,2388.24,2388.26,9039.1,8120.08,38.65,23.1585,551.69,520.54
1,173,47.9,1425.27,8.5091,642.97,395,1590.69,2388.22,2388.23,9048.82,8121.64,38.59,23.1789,552.13,520.11
1,174,48.0,1422.58,8.4476,642.64,393,1599.81,2388.22,2388.21,9041.25,8119.17,38.57,23.0357,552.32,520.22
1,175,47.86,1422.52,8.489,643.61,394,1603.29,2388.23,2388.22,9042.66,8125.76,38.58,23.1573,551.64,520.38
1,176,47.84,1422.73,8.4853,642.86,394,1592.27,2388.23,2388.2,9045.74,8123.8,38.72,23.2491,551.91,519.8
1,177,48.03,1423.99,8.4779,643.79,396,1602.02,2388.25,2388.23,9046.2,8120.11,38.63,23.1673,551.93,520.24
1,178,48.0,1424.65,8.477,643.38,395,1605.33,2388.23,2388.2,9046.17,8116.56,38.65,23.177,552.18,520.2
1,179,48.02,1429.45,8.4947,642.86,395,1592.56,2388.26,2388.18,9044.23,8116.84,38.77,23.1888,551.57,520.38
1,180,47.85,1417.14,8.4737,643.58,395,1599.87,2388.21,2388.28,9039.33,8122.57,38.86,23.007,552.91,519.84
1,181,48.1,1420.64,8.472,643.44,397,1596.71,2388.23,2388.23,9038.29,8114.79,38.34,23.1652,551.83,520.43
1,182,47.98,1426.62,8.5158,644.21,397,1602.08,2388.26,2388.25,9041.23,8119.67,38.43,23.1787,551.9,520.46
1,183,48.03,1419.03,8.5041,643.24,396,1597.23,2388.21,2388.23,9040.94,8117.8,38.56,23.1302,551.38,520.05
1,184,48.07,1432.52,8.5133,644.07,395,1605.44,2388.24,2388.28,9047.91,8115.61,38.43,23.0146,551.0,519.77
1,185,48.15,1424.4,8.4984,643.8,395,1603.46,2388.29,2388.27,9043.71,8113.69,38.51,23.07,551.64,519.82
1,186,48.12,1426.3,8.5227,643.51,397,1595.16,2388.21,2388.25,9051.37,8123.45,38.47,23.0564,552.57,520.08
1,187,48.23,1427.27,8.5218,643.32,396,1592.1,2388.29,2388.28,9037.71,8115.67,38.42,23.0822,551.08,519.53
1,188,48.0,1422.78,8.5207,643.75,396,1602.38,2388.31,2388.23,9037.91,8117.69,38.51,22.9588,551.94,519.79
1,189,48.08,1428.01,8.5183,644.18,395,1596.17,2388.27,2388.33,9044.55,8117.51,38.48,23.1127,550.7,519.58
1,190,48.33,1425.95,8.5223,643.64,398,1599.22,2388.29,2388.35,9040.58,8112.58,38.49,23.0675,551.29,520.04
1,191,48.15,1425.77,8.5174,643.34,394,1602.36,2388.28,2388.3,9042.76,8114.61,38.45,23.1295,550.92,519.57
1,192,48.25,1427.2,8.5113,643.54,396,1601.41,2388.32,2388.32,9033.22,8110.93,38.48,22.9649,551.25,520.08
5,1,47.19,1395.26,8.4102,641.77,393,1583.59,2387.98,2388.0,9066.49,8152.22,38.98,23.4468,554.39,522.34
5,2,47.09,1394.88,8.4053,642.42,392,1589.69,2388.01,2387.99,9063.03,8153.04,39.12,23.4075,555.57,522.6
5,3,47.11,1396.29,8.399,642.07,393,1582.45,2388.01,2388.02,9068.21,8148.42,39.18,23.3298,554.49,522.85
5,4,47.29,1397.94,8.3876,642.08,390,1586.84,2387.96,2387.99,9070.56,8148.81,39.22,23.4306,555.16,522.11
5,5,47.09,1394.28,8.4129,642.03,390,1581.45,2387.98,2387.95,9069.25,8147.69,39.17,23.3331,554.59,522.6
5,6,47.16,1390.56,8.4204,642.32,393,1586.1,2388.03,2388.02,9062.14,8148.03,39.0,23.3878,554.53,522.87
5,7,47.14,1399.1,8.3913,642.78,393,1585.21,2387.92,2388.0,9069.18,8151.1,39.2,23.382,554.85,522.52
5,8,47.03,1393.41,8.4054,642.49,391,1585.88,2387.98,2387.98,9073.13,8145.43,39.11,23.4495,554.33,522.41
5,9,47.34,1394.2,8.3796,641.69,392,1581.46,2388.0,2388.03,9062.62,8148.79,39.12,23.3762,554.67,522.58
5,10,47.32,1390.3,8.4089,642.18,390,1583.92,2388.02,2388.01,9071.57,8146.61,39.06,23.4213,554.84,522.67
5,11,47.3,1393.09,8.4091,641.9,391,1585.25,2387.96,2388.01,9064.45,8146.73,39.12,23.4847,554.2,522.0
5,12,47.12,1394.07,8.4233,641.97,391,1583.89,2388.02,2388.01,9070.86,8147.24,38.87,23.3806,554.27,522.96
5,13,47.11,1402.31,8.386,641.9,392,1579.55,2388.03,2387.94,9056.42,8149.69,38.96,23.4476,554.75,522.42
5,14,47.26,1396.28,8.4214,641.93,393,1578.03,2387.97,2388.03,9062.88,8153.4,39.07,23.3733,554.52,522.19
5,15,47.09,1394.11,8.4073,641.88,391,1589.42,2388.07,2388.03,9066.3,8144.15,38.96,23.4795,554.45,522.74
5,16,47.08,1390.29,8.4266,641.56,391,1578.43,2388.0,2388.02,9065.46,8144.59,39.12,23.4884,555.11,522.24
5,17,47.11,1400.59,8.4072,642.0,391,1581.87,2387.98,2388.02,9066.79,8153.44,39.04,23.4556,554.31,522.89
